paper,experiment_group,data_source,p,n,seed,method,implementation,runtime,SHD,TPR,FPR,Precision,F1,acceptance_rate,mean_edge_entropy,posterior_gap,status,error,comparable_level,original_paper_trend,comment
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,200,1,c_order,C,0.006,1,1.0,0.0588,0.75,0.8571,0.48,0.278498,0.5385,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,200,1,c_structure,C,0.016,4,0.6667,0.1765,0.4,0.5,0.4412,0.44683,0.2697,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,200,2,c_order,C,0.005,4,0.4,0.2667,0.3333,0.3636,0.3337,0.376887,0.063,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,200,2,c_structure,C,0.015,5,0.4,0.3333,0.2857,0.3333,0.2712,0.168032,0.0672,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,500,1,c_order,C,0.005,0,1.0,0.0,1.0,1.0,0.345,0.139771,0.8514,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,500,1,c_structure,C,0.015,4,0.6667,0.1765,0.4,0.5,0.435,0.273561,0.4677,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,500,2,c_order,C,0.006,2,0.8,0.1333,0.6667,0.7273,0.1562,0.182565,0.5101,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_toy_like,5,500,2,c_structure,C,0.016,6,0.2,0.3333,0.1667,0.1818,0.2562,0.053317,-0.1639,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,200,1,c_order,C,0.094,7,0.6429,0.0357,0.6,0.6207,0.4138,0.05861,0.5094,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,200,1,c_structure,C,0.114,22,0.3571,0.1012,0.2273,0.2778,0.5325,0.138551,0.1691,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,200,2,c_order,C,0.101,5,0.75,0.0241,0.75,0.75,0.2062,0.036079,0.6576,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,200,2,c_structure,C,0.11,15,0.625,0.0602,0.5,0.5556,0.46,0.126996,0.4887,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,500,1,c_order,C,0.09,9,0.6429,0.0476,0.5294,0.5806,0.3887,0.081658,0.5151,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,500,1,c_structure,C,0.107,19,0.3571,0.0893,0.25,0.2941,0.5012,0.143084,0.229,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,500,2,c_order,C,0.092,8,0.625,0.0422,0.5882,0.6061,0.235,0.062768,0.5807,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_boston_like,14,500,2,c_structure,C,0.112,22,0.4375,0.0843,0.3333,0.3784,0.4625,0.099727,0.2848,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,200,1,c_order,C,0.266,4,0.8696,0.0028,0.9524,0.9091,0.35,0.025315,0.7559,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,200,1,c_structure,C,0.247,40,0.2174,0.0672,0.1724,0.1923,0.4938,0.07187,0.1189,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,200,2,c_order,C,0.289,12,0.6154,0.0254,0.64,0.6275,0.3237,0.023185,0.5648,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,200,2,c_structure,C,0.261,36,0.2692,0.0678,0.2258,0.2456,0.5088,0.085461,0.1109,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,500,1,c_order,C,0.276,11,0.6087,0.028,0.5833,0.5957,0.325,0.04021,0.7329,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,500,1,c_structure,C,0.247,38,0.1739,0.0728,0.1333,0.1509,0.4462,0.080853,0.0684,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,500,2,c_order,C,0.263,15,0.4615,0.0367,0.48,0.4706,0.2687,0.036663,0.4545,success,,approximate,,
Kuipers and Moffa (2017),partition_mcmc,simulated_large_like,20,500,2,c_structure,C,0.251,42,0.1538,0.0734,0.1333,0.1429,0.4713,0.072302,0.0394,success,,approximate,,
